model_name,bleu,bleu1,bleu2,bleu3,bleu4,rouge1,rouge2,rougeL,meteor,average_clip_score,bert_f1
gemma3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6152,1.0
kosmos2,0.0914,0.4241,0.1623,0.0533,0.0205,0.4494,0.1876,0.3304,0.3196,0.6591,0.3261
