model_name,bleu,bleu1,bleu2,bleu3,bleu4,rouge1,rouge2,rougeL,meteor
blip2_output,0.0119,0.3101,0.0682,0.0186,0.006,0.2382,0.0546,0.1961,0.1423
florence2_output,0.0334,0.252,0.0631,0.0161,0.0049,0.3306,0.0863,0.216,0.2963
kosmos2_output,0.0171,0.1625,0.0343,0.0065,0.0023,0.2454,0.059,0.1794,0.2601
paligemma_output,0.003,0.339,0.0536,0.0102,0.0023,0.1776,0.0259,0.1378,0.0936
vit-gpt2_output,0.0,0.3127,0.0512,0.0109,0.0,0.2353,0.0378,0.1951,0.1228
--------------------------------------------------------------
blip2_humanCorrectedOutput,0.0595,0.486,0.1715,0.0517,0.0153,0.4494,0.1567,0.3173,0.3033
florence2_humanCorrectedOutput,0.0622,0.3452,0.1019,0.0345,0.0124,0.4277,0.1262,0.2658,0.3721
